CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Avg_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
716441058,45,F,4,High School,Single,Less than $40K,Silver,36,2,5,2,14416.0,0,14416.0,0.788,13820,99,0.65,0.0,Continuing
720983733,44,M,3,Graduate,Single,$60K - $80K,Blue,36,2,3,3,15422.0,864,14558.0,0.578,2136,54,0.8,0.056,Leaving
720015183,60,M,1,Graduate,Married,$120K +,Blue,46,6,3,1,5130.0,2048,3082.0,0.776,4601,88,0.76,0.399,Continuing
809620833,35,F,3,Graduate,Single,Less than $40K,Blue,30,3,3,2,9293.0,0,9293.0,0.897,2314,59,1.034,0.0,Continuing
710180958,43,M,3,High School,Single,$40K - $60K,Blue,33,5,2,3,3040.0,2517,523.0,0.493,1598,31,0.476,0.828,Continuing
708100533,55,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679.0,2277,402.0,0.736,4943,85,0.735,0.85,Continuing
820394733,52,M,0,College,Married,$120K +,Gold,47,2,1,1,34516.0,1464,33052.0,0.689,7690,87,0.673,0.042,Continuing
719359458,49,F,2,Uneducated,Single,Less than $40K,Blue,42,6,3,2,1991.0,0,1991.0,0.954,4527,66,0.61,0.0,Continuing
716866308,38,M,2,High School,Married,$60K - $80K,Blue,33,6,3,4,5940.0,1101,4839.0,0.942,1872,34,1.125,0.185,Continuing
719680908,47,F,0,College,Married,Less than $40K,Blue,27,3,1,3,1776.0,691,1085.0,0.878,4878,84,0.826,0.389,Continuing
767197983,52,F,2,High School,Single,Less than $40K,Blue,45,1,1,1,4209.0,0,4209.0,0.856,5938,83,0.694,0.0,Continuing
713480583,46,F,3,High School,Married,Less than $40K,Blue,36,5,2,2,4668.0,0,4668.0,0.89,1612,47,1.474,0.0,Continuing
772601283,39,M,1,Post-Graduate,Single,$80K - $120K,Blue,29,6,2,2,23034.0,1992,21042.0,0.759,2514,32,0.684,0.086,Continuing
714292533,48,F,3,College,Married,Less than $40K,Blue,36,4,1,2,2544.0,0,2544.0,0.759,3593,64,1.0,0.0,Continuing
711835758,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516.0,2099,32417.0,0.449,1756,35,0.25,0.061,Continuing
780833058,46,M,2,High School,Married,$40K - $60K,Blue,32,4,3,2,2619.0,2271,348.0,0.61,3835,60,0.818,0.867,Continuing
788728608,34,M,0,High School,Married,$40K - $60K,Blue,13,3,3,2,3870.0,1394,2476.0,0.827,1588,36,0.714,0.36,Continuing
714346608,51,F,2,Graduate,Single,$40K - $60K,Blue,36,3,1,4,1495.0,0,1495.0,0.528,2220,50,0.562,0.0,Leaving
714418158,63,F,0,Uneducated,Single,Less than $40K,Blue,56,2,2,2,7264.0,851,6413.0,0.814,3527,69,0.816,0.117,Continuing
714577233,50,F,3,Graduate,Married,$40K - $60K,Blue,41,2,3,1,4755.0,0,4755.0,0.776,15999,109,0.73,0.0,Continuing
711368283,39,M,2,Graduate,Married,$80K - $120K,Blue,27,3,3,2,34516.0,1629,32887.0,1.078,3448,53,1.038,0.047,Continuing
766429908,49,M,2,High School,Unknown,$60K - $80K,Blue,42,6,1,2,3017.0,786,2231.0,1.081,1640,37,0.762,0.261,Continuing
714816258,37,M,2,Graduate,Single,$60K - $80K,Blue,36,4,2,2,7638.0,947,6691.0,0.682,2336,58,0.611,0.124,Continuing
708151008,49,F,4,Graduate,Married,$40K - $60K,Blue,41,5,1,2,6250.0,644,5606.0,1.06,2433,41,1.158,0.103,Continuing
710701233,44,F,5,Graduate,Single,Less than $40K,Blue,37,3,1,1,17785.0,1259,16526.0,0.806,3890,72,1.118,0.071,Continuing
709267308,62,M,1,Graduate,Married,$80K - $120K,Blue,49,3,1,2,2437.0,1400,1037.0,0.779,1651,32,1.0,0.574,Continuing
789365508,49,M,2,High School,Divorced,$40K - $60K,Blue,39,2,3,4,14839.0,512,14327.0,0.176,1453,26,0.13,0.035,Leaving
713906508,42,F,3,Graduate,Single,Less than $40K,Blue,36,6,3,3,2837.0,834,2003.0,0.427,3892,69,0.408,0.294,Continuing
714516033,53,M,3,High School,Married,$120K +,Blue,44,4,2,0,9025.0,1005,8020.0,0.568,4412,87,0.706,0.111,Continuing
717904383,40,M,2,Graduate,Married,$80K - $120K,Blue,31,5,1,2,18693.0,2052,16641.0,0.5,1516,44,0.63,0.11,Continuing
801518958,56,F,1,Graduate,Married,Less than $40K,Blue,50,2,3,3,5338.0,0,5338.0,0.919,4139,69,0.865,0.0,Continuing
712925808,51,F,1,Graduate,Married,$40K - $60K,Blue,36,2,3,2,2710.0,0,2710.0,0.999,4724,60,0.395,0.0,Leaving
713474733,51,M,2,Graduate,Single,$80K - $120K,Blue,31,5,3,2,1438.3,327,1111.3,0.528,1783,40,0.481,0.227,Leaving
710939283,45,F,3,Uneducated,Divorced,$40K - $60K,Blue,36,3,2,4,4209.0,1300,2909.0,0.75,16078,105,0.615,0.309,Continuing
710638233,41,M,2,Graduate,Divorced,$40K - $60K,Blue,25,4,2,3,4277.0,2186,2091.0,0.804,8764,69,0.683,0.511,Leaving
713265858,44,M,3,Graduate,Married,$120K +,Blue,32,4,2,2,34516.0,1344,33172.0,0.523,4795,92,0.673,0.039,Continuing
713511108,61,M,1,Uneducated,Married,$40K - $60K,Blue,47,5,3,4,1438.3,847,591.3,0.436,1397,43,0.483,0.589,Continuing
779978283,45,F,3,High School,Married,Less than $40K,Blue,34,4,2,1,5056.0,0,5056.0,0.905,4428,78,0.696,0.0,Continuing
716432658,48,F,3,High School,Married,Less than $40K,Blue,36,5,2,1,1438.3,0,1438.3,0.646,4490,65,0.625,0.0,Continuing
716013858,53,M,0,Graduate,Single,$80K - $120K,Blue,34,3,1,4,20231.0,1434,18797.0,0.543,5002,78,0.66,0.071,Continuing
795904233,38,F,3,Graduate,Single,Less than $40K,Blue,32,5,1,0,26945.0,727,26218.0,0.687,1579,40,0.6,0.027,Continuing
825743583,39,F,2,Graduate,Single,Less than $40K,Silver,35,1,3,3,32089.0,1971,30118.0,0.671,13796,121,0.833,0.061,Continuing
708692583,44,F,2,High School,Single,Less than $40K,Blue,31,3,3,3,1506.0,168,1338.0,0.671,2312,44,0.467,0.112,Leaving
779351208,49,M,2,Graduate,Single,$60K - $80K,Blue,34,4,1,4,5176.0,0,5176.0,0.838,1902,56,0.931,0.0,Continuing
711877458,51,F,3,College,Married,Less than $40K,Blue,36,6,2,2,1936.0,0,1936.0,0.705,4072,72,0.756,0.0,Continuing
712549758,40,F,4,Graduate,Married,Less than $40K,Blue,25,6,2,1,25060.0,0,25060.0,0.758,3749,61,0.743,0.0,Continuing
709161108,44,M,1,Graduate,Single,$60K - $80K,Blue,33,3,2,4,2540.0,0,2540.0,0.212,1531,31,0.107,0.0,Leaving
715477233,55,F,1,High School,Unknown,Less than $40K,Blue,36,3,2,3,6968.0,1430,5538.0,0.95,4037,69,1.029,0.205,Continuing
821759658,41,F,4,High School,Divorced,$40K - $60K,Blue,37,3,2,3,4650.0,204,4446.0,0.685,2014,54,0.8,0.044,Leaving
713772333,45,F,3,Graduate,Divorced,Less than $40K,Blue,34,4,3,1,3223.0,243,2980.0,0.433,1979,38,0.462,0.075,Leaving
713610933,40,F,2,Uneducated,Married,Less than $40K,Blue,26,3,2,1,2708.0,0,2708.0,0.572,4277,90,0.636,0.0,Continuing
714974658,48,F,4,College,Married,Less than $40K,Blue,36,6,1,4,2464.0,1867,597.0,0.6,1219,35,1.333,0.758,Continuing
769063308,45,M,3,Post-Graduate,Married,$80K - $120K,Blue,39,6,2,2,29003.0,2323,26680.0,0.671,1676,36,0.714,0.08,Continuing
819214233,43,F,3,Graduate,Married,Less than $40K,Blue,38,2,2,2,1530.0,0,1530.0,0.642,5138,84,0.68,0.0,Continuing
709892658,48,F,5,Graduate,Single,Less than $40K,Blue,38,5,3,2,1605.0,1300,305.0,0.95,4495,67,0.718,0.81,Continuing
788907033,40,M,2,High School,Unknown,$80K - $120K,Blue,26,1,3,1,5238.0,2077,3161.0,0.656,7321,73,0.659,0.397,Continuing
711824358,44,F,4,College,Single,Less than $40K,Blue,31,3,3,2,3228.0,0,3228.0,0.747,4524,70,0.667,0.0,Continuing
717281658,52,F,3,Graduate,Divorced,Less than $40K,Blue,41,3,3,4,6060.0,1687,4373.0,0.563,3953,65,0.711,0.278,Continuing
773988708,52,M,2,Uneducated,Married,$120K +,Silver,43,1,2,2,34516.0,1588,32928.0,0.745,7512,81,0.688,0.046,Continuing
710782458,31,M,1,Graduate,Married,$40K - $60K,Blue,20,6,2,5,2469.0,1695,774.0,0.842,1615,36,0.333,0.687,Continuing
719926683,41,M,3,High School,Divorced,$60K - $80K,Blue,33,2,2,2,20749.0,2171,18578.0,0.842,4754,77,0.674,0.105,Continuing
778671483,33,F,3,Uneducated,Single,Less than $40K,Blue,13,5,3,3,1630.0,1008,622.0,0.695,4143,67,0.595,0.618,Continuing
708563433,65,F,0,High School,Single,Less than $40K,Blue,56,3,6,3,5894.0,477,5417.0,1.015,1616,32,0.455,0.081,Leaving
789497283,50,M,2,High School,Single,$120K +,Blue,42,1,3,2,34162.0,1723,32439.0,0.429,7572,56,0.697,0.05,Leaving
716613933,51,F,3,High School,Single,$40K - $60K,Blue,36,6,5,2,3417.0,1482,1935.0,0.705,3651,60,0.818,0.434,Continuing
718535733,40,F,1,Uneducated,Divorced,Less than $40K,Blue,25,3,3,1,3758.0,2047,1711.0,1.108,4928,79,0.646,0.545,Continuing
714997683,56,F,4,Graduate,Married,Less than $40K,Blue,49,5,1,3,14915.0,1111,13804.0,0.846,1388,35,0.667,0.074,Continuing
716201883,46,M,2,Graduate,Unknown,$120K +,Silver,39,2,2,3,34516.0,1381,33135.0,0.949,14696,114,0.966,0.04,Continuing
819634233,46,F,2,Graduate,Unknown,Less than $40K,Blue,40,5,2,2,6568.0,0,6568.0,0.101,1507,33,0.222,0.0,Leaving
766649283,49,F,3,Graduate,Divorced,Less than $40K,Blue,42,2,2,3,14072.0,1917,12155.0,0.653,13432,107,0.981,0.136,Continuing
708386958,47,F,3,Graduate,Married,Less than $40K,Blue,34,3,3,2,1561.0,0,1561.0,0.502,1947,28,0.556,0.0,Leaving
719911458,49,F,5,High School,Married,Less than $40K,Blue,36,4,2,3,2598.0,1848,750.0,0.547,4396,78,0.814,0.711,Continuing
753327333,41,M,3,Graduate,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,Continuing
711776433,37,M,3,Uneducated,Single,$80K - $120K,Blue,26,4,2,2,23622.0,1153,22469.0,0.666,2574,65,0.625,0.049,Continuing
709363383,34,M,2,High School,Single,Less than $40K,Blue,36,3,4,2,22886.0,836,22050.0,0.889,2652,61,0.743,0.037,Continuing
716529258,42,M,4,Doctorate,Married,$80K - $120K,Blue,27,5,3,4,31864.0,0,31864.0,1.009,1591,35,0.75,0.0,Continuing
714490308,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,Continuing
771795933,49,M,4,Graduate,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376,55,0.486,0.073,Leaving
714267858,44,F,2,High School,Single,Less than $40K,Blue,37,6,2,1,4559.0,1680,2879.0,0.628,4934,76,0.949,0.369,Continuing
714848958,47,F,2,Graduate,Single,Less than $40K,Gold,37,6,2,1,15109.0,897,14212.0,0.494,2315,43,0.303,0.059,Leaving
715708308,54,F,3,Doctorate,Married,$40K - $60K,Blue,39,3,1,3,2112.0,1594,518.0,1.204,1338,29,2.222,0.755,Continuing
715014633,32,F,0,Uneducated,Married,Less than $40K,Blue,36,6,3,2,8791.0,0,8791.0,0.894,2579,51,0.594,0.0,Leaving
716877258,55,F,3,Graduate,Single,Less than $40K,Blue,48,4,3,2,3968.0,1374,2594.0,0.703,4641,65,0.711,0.346,Continuing
780253533,63,F,0,Graduate,Married,Less than $40K,Blue,49,5,3,0,3558.0,2318,1240.0,1.265,1631,31,0.824,0.651,Continuing
710516283,50,M,1,High School,Single,$120K +,Blue,37,4,1,4,9758.0,1792,7966.0,0.626,4134,60,0.765,0.184,Continuing
720532908,36,F,2,Graduate,Divorced,$40K - $60K,Blue,20,4,3,2,9735.0,1245,8490.0,1.079,2967,80,0.739,0.128,Continuing
779737233,51,M,1,Graduate,Married,$60K - $80K,Blue,35,3,3,2,9589.0,628,8961.0,0.695,3971,66,0.784,0.065,Continuing
713741358,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,Leaving
804661083,50,M,0,Graduate,Single,$80K - $120K,Blue,45,3,2,2,2135.0,1506,629.0,0.883,4821,77,0.711,0.705,Continuing
827360883,47,F,3,High School,Married,Less than $40K,Blue,43,4,3,2,13473.0,1335,12138.0,0.814,1593,46,0.484,0.099,Continuing
812785158,42,M,4,Uneducated,Married,Less than $40K,Blue,37,4,3,2,2411.0,1797,614.0,0.607,4331,63,0.5,0.745,Continuing
711371208,50,F,4,College,Married,Less than $40K,Blue,36,4,2,2,6465.0,1863,4602.0,0.399,4490,68,0.789,0.288,Continuing
779895108,39,M,3,Graduate,Single,$80K - $120K,Blue,23,6,1,4,2718.0,2156,562.0,0.668,1711,36,0.44,0.793,Continuing
767333808,50,F,2,Graduate,Unknown,Less than $40K,Blue,43,5,3,4,3424.0,0,3424.0,0.765,4929,74,0.574,0.0,Continuing
713763633,54,F,2,Graduate,Married,Less than $40K,Blue,46,5,3,2,3014.0,794,2220.0,0.5,1488,30,0.579,0.263,Continuing
788940558,41,F,3,Graduate,Married,Less than $40K,Blue,27,6,1,2,2134.0,1085,1049.0,0.656,4224,75,1.027,0.508,Continuing
708995283,50,F,1,Graduate,Unknown,Less than $40K,Blue,36,1,1,3,10417.0,2290,8127.0,1.122,4871,75,1.027,0.22,Continuing
714703158,39,F,2,High School,Married,Less than $40K,Blue,36,6,2,3,1578.0,760,818.0,0.709,2017,43,0.955,0.482,Continuing
770262183,31,M,0,Uneducated,Single,Less than $40K,Blue,25,5,2,2,5715.0,1741,3974.0,0.816,2324,67,1.03,0.305,Continuing
710944608,39,M,3,Graduate,Unknown,$80K - $120K,Blue,31,6,2,4,8434.0,2222,6212.0,0.691,1414,27,0.929,0.263,Continuing
719502183,52,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,4950.0,1829,3121.0,0.671,4529,73,0.872,0.369,Continuing
708899283,40,F,3,Uneducated,Single,Less than $40K,Blue,28,3,3,3,2690.0,1935,755.0,0.593,4917,81,0.653,0.719,Continuing
709183683,31,F,0,Uneducated,Single,Less than $40K,Blue,36,4,2,0,5391.0,0,5391.0,1.075,1971,56,0.6,0.0,Continuing
805261983,35,F,4,Graduate,Married,Less than $40K,Blue,30,6,3,4,1626.0,979,647.0,1.467,2847,61,0.968,0.602,Continuing
720070383,41,F,3,Uneducated,Single,Less than $40K,Blue,29,6,3,3,2429.0,1966,463.0,1.046,4775,84,0.787,0.809,Continuing
815062383,35,F,2,High School,Married,Less than $40K,Blue,30,3,3,1,4549.0,1193,3356.0,0.445,1914,33,0.5,0.262,Continuing
715474833,37,M,2,College,Single,$80K - $120K,Blue,36,3,2,2,12944.0,1399,11545.0,0.507,4389,84,0.68,0.108,Continuing
826068183,36,M,1,Graduate,Married,$80K - $120K,Blue,32,4,4,3,15488.0,1463,14025.0,1.28,2916,50,0.724,0.094,Continuing
711831558,49,M,4,College,Divorced,$120K +,Blue,41,3,1,1,7184.0,1207,5977.0,0.657,3244,58,1.0,0.168,Continuing
712157958,44,M,3,High School,Married,$80K - $120K,Blue,36,1,3,2,10908.0,0,10908.0,0.983,4883,42,0.5,0.0,Leaving
789114408,50,F,1,Post-Graduate,Single,$40K - $60K,Blue,38,3,1,4,4182.0,0,4182.0,0.853,4693,82,0.608,0.0,Continuing
715736283,55,F,4,Doctorate,Single,Less than $40K,Blue,44,3,1,1,1912.0,0,1912.0,0.783,4666,98,0.719,0.0,Continuing
714731208,63,F,0,Uneducated,Unknown,$40K - $60K,Blue,55,6,2,2,1651.0,1433,218.0,0.985,4050,58,0.611,0.868,Continuing
770882508,38,M,2,College,Married,$80K - $120K,Blue,24,4,1,5,17162.0,773,16389.0,1.238,2457,54,1.0,0.045,Continuing
713181558,55,F,2,Doctorate,Married,Less than $40K,Blue,47,6,1,3,5794.0,0,5794.0,0.732,4201,73,0.587,0.0,Continuing
721221783,62,M,2,Graduate,Single,Less than $40K,Blue,48,6,3,2,5844.0,2013,3831.0,0.478,3546,65,0.548,0.344,Continuing
773667708,50,M,1,Graduate,Divorced,$60K - $80K,Blue,44,3,4,3,7050.0,1008,6042.0,0.639,2176,39,0.56,0.143,Leaving
789129033,44,M,5,Graduate,Single,$80K - $120K,Blue,32,5,3,2,14910.0,877,14033.0,0.772,1150,26,0.625,0.059,Continuing
711900033,57,F,0,Doctorate,Married,Less than $40K,Blue,46,5,2,1,4661.0,1734,2927.0,0.789,5242,81,1.382,0.372,Continuing
798045708,42,F,5,Graduate,Married,$40K - $60K,Blue,36,2,1,1,7434.0,0,7434.0,0.63,4182,76,1.171,0.0,Continuing
708455883,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244.0,861,9383.0,0.78,1127,29,0.381,0.084,Leaving
767587833,44,M,3,Graduate,Single,$120K +,Blue,37,3,1,5,3650.0,2512,1138.0,0.739,4599,75,0.471,0.688,Continuing
708928908,39,F,1,Graduate,Single,Less than $40K,Blue,23,4,3,3,2533.0,0,2533.0,0.998,5128,74,0.947,0.0,Continuing
772491333,31,F,1,Post-Graduate,Married,Less than $40K,Blue,21,2,1,2,5342.0,2005,3337.0,0.682,14738,94,0.709,0.375,Continuing
719880408,46,F,4,Graduate,Married,Less than $40K,Blue,35,6,3,1,3072.0,1611,1461.0,0.682,3992,57,0.727,0.524,Continuing
716832858,46,M,3,Graduate,Married,$60K - $80K,Blue,34,1,2,4,4930.0,159,4771.0,0.592,7412,60,0.579,0.032,Leaving
715503558,57,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3542.0,2417,1125.0,0.687,4127,71,0.479,0.682,Continuing
809954133,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,6,1,3,5013.0,0,5013.0,0.822,5223,84,0.909,0.0,Continuing
719724933,58,F,1,Uneducated,Married,Less than $40K,Blue,51,5,4,2,2220.0,1240,980.0,0.906,4396,78,0.95,0.559,Continuing
711772008,35,F,3,Graduate,Single,Less than $40K,Blue,22,1,2,1,1890.0,666,1224.0,0.691,1483,36,0.5,0.352,Leaving
710428308,55,M,4,High School,Single,$60K - $80K,Blue,51,4,1,4,2001.0,1553,448.0,0.482,1910,51,0.7,0.776,Continuing
717730533,32,M,0,Graduate,Single,$40K - $60K,Blue,21,6,1,3,1614.0,925,689.0,0.598,2659,63,0.75,0.573,Continuing
710706558,51,F,4,Graduate,Single,Less than $40K,Blue,42,3,1,3,2680.0,1753,927.0,0.32,1154,33,0.571,0.654,Continuing
807173358,56,F,0,Post-Graduate,Married,Less than $40K,Blue,51,4,2,3,3617.0,878,2739.0,0.777,5416,76,0.9,0.243,Continuing
713550483,45,M,4,Graduate,Unknown,$60K - $80K,Blue,33,1,5,1,8670.0,1930,6740.0,0.933,13767,96,0.655,0.223,Continuing
778486008,52,F,3,High School,Married,Less than $40K,Blue,40,4,4,1,4223.0,2235,1988.0,0.863,3669,62,1.138,0.529,Continuing
768563658,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,Continuing
715839708,51,M,1,Graduate,Married,$120K +,Blue,39,2,3,2,34516.0,2452,32064.0,0.707,7111,82,0.608,0.071,Continuing
708545058,45,F,2,Graduate,Single,$40K - $60K,Blue,36,5,4,3,1438.3,986,452.3,0.649,5136,81,0.8,0.686,Continuing
720986958,50,F,2,Graduate,Divorced,$40K - $60K,Blue,40,6,2,5,8307.0,2517,5790.0,1.743,2293,36,0.8,0.303,Continuing
763681908,34,F,3,Graduate,Married,Less than $40K,Blue,27,1,2,1,5795.0,924,4871.0,0.86,5674,78,0.857,0.159,Continuing
789172683,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,Continuing
778348233,53,M,3,Graduate,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,Continuing
828215508,55,F,2,Graduate,Unknown,Less than $40K,Blue,50,4,4,3,1438.3,0,1438.3,0.639,1785,33,0.32,0.0,Leaving
717987258,43,F,3,Graduate,Single,$40K - $60K,Blue,36,5,2,4,2594.0,1686,908.0,0.624,4503,67,0.811,0.65,Continuing
709288383,32,M,2,Graduate,Divorced,$80K - $120K,Blue,26,5,1,3,29961.0,789,29172.0,0.833,2337,69,0.605,0.026,Continuing
716053083,33,M,2,Graduate,Married,$120K +,Blue,21,2,2,4,27992.0,0,27992.0,0.433,837,18,1.0,0.0,Leaving
711048783,41,M,4,Doctorate,Married,$80K - $120K,Blue,29,3,3,3,33405.0,0,33405.0,0.535,1345,34,0.619,0.0,Continuing
716400633,33,M,3,High School,Single,$40K - $60K,Blue,24,6,3,3,5156.0,1427,3729.0,0.48,2057,54,0.421,0.277,Continuing
719884983,52,M,2,Graduate,Single,$40K - $60K,Blue,44,3,4,2,1538.0,666,872.0,0.642,4808,64,0.684,0.433,Continuing
799711833,50,F,3,College,Married,Less than $40K,Blue,44,2,1,3,24735.0,2296,22439.0,0.808,7910,95,0.557,0.093,Continuing
814987983,37,F,2,College,Single,$40K - $60K,Blue,32,2,1,3,3680.0,683,2997.0,0.85,4835,77,0.75,0.186,Continuing
771682533,43,F,3,Graduate,Married,Less than $40K,Blue,31,4,3,2,5702.0,0,5702.0,0.773,3928,75,0.744,0.0,Continuing
712159083,58,F,4,Graduate,Married,Less than $40K,Blue,46,2,3,3,2536.0,0,2536.0,0.917,901,35,0.522,0.0,Leaving
780086658,43,M,4,Doctorate,Unknown,$60K - $80K,Blue,28,3,2,4,18229.0,0,18229.0,0.544,2060,39,0.625,0.0,Leaving
719729433,65,F,1,Graduate,Married,Less than $40K,Blue,56,4,2,0,7023.0,1726,5297.0,1.178,2535,51,0.759,0.246,Continuing
794545983,57,M,2,Graduate,Married,$80K - $120K,Blue,40,3,2,3,12208.0,1980,10228.0,0.616,1409,34,0.619,0.162,Continuing
719381733,61,M,2,High School,Single,$60K - $80K,Blue,47,5,2,3,2175.0,1404,771.0,0.633,3994,64,0.778,0.646,Continuing
716317458,51,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,3,3,4281.0,0,4281.0,0.447,1723,44,0.375,0.0,Leaving
767294658,56,M,2,College,Single,$120K +,Blue,50,2,2,3,16867.0,0,16867.0,0.885,654,14,0.4,0.0,Leaving
716644008,55,M,3,Graduate,Single,$120K +,Silver,36,4,3,4,34516.0,0,34516.0,1.007,9931,70,0.75,0.0,Leaving
720193533,41,M,3,Graduate,Married,$60K - $80K,Blue,32,4,1,3,5071.0,1043,4028.0,0.667,3358,62,0.722,0.206,Continuing
789601308,58,M,3,Graduate,Married,$120K +,Blue,52,4,5,3,12398.0,0,12398.0,0.785,4228,93,0.788,0.0,Continuing
816328308,60,F,0,Graduate,Married,Less than $40K,Blue,55,2,1,3,3773.0,0,3773.0,0.684,14264,118,0.873,0.0,Continuing
711320508,57,M,4,Graduate,Married,$80K - $120K,Blue,49,4,2,4,3038.0,1410,1628.0,0.644,1762,34,0.7,0.464,Continuing
720557883,35,M,3,Uneducated,Single,Less than $40K,Blue,21,5,2,1,6104.0,1595,4509.0,0.619,15240,102,0.729,0.261,Continuing
767114958,65,M,0,Uneducated,Single,Less than $40K,Blue,56,4,2,2,3226.0,2073,1153.0,1.035,3250,70,0.591,0.643,Continuing
711419133,56,M,4,Graduate,Single,Less than $40K,Blue,36,3,2,3,3057.0,1077,1980.0,0.934,4449,77,0.878,0.352,Continuing
715019883,52,M,3,College,Married,$60K - $80K,Blue,42,5,3,1,4565.0,1258,3307.0,0.764,4139,67,0.914,0.276,Continuing
780095808,43,M,3,Graduate,Divorced,$60K - $80K,Blue,30,3,2,1,2588.0,1669,919.0,0.788,1053,31,0.55,0.645,Continuing
712971708,43,F,5,Graduate,Single,Less than $40K,Blue,26,6,0,3,3139.0,1089,2050.0,1.034,4648,80,0.778,0.347,Continuing
709952658,46,F,3,Graduate,Unknown,Less than $40K,Blue,33,6,3,2,3025.0,2491,534.0,0.45,4460,62,0.722,0.823,Continuing
787231233,34,M,5,Post-Graduate,Single,$80K - $120K,Silver,28,3,3,2,34516.0,1731,32785.0,0.605,2421,63,0.575,0.05,Continuing
708992733,50,F,0,High School,Married,Less than $40K,Blue,36,4,3,2,1513.0,0,1513.0,0.854,4759,98,0.719,0.0,Continuing
716901858,49,M,4,Doctorate,Married,$40K - $60K,Blue,39,5,1,2,1438.3,0,1438.3,0.562,3691,77,0.51,0.0,Continuing
708492558,42,M,3,Graduate,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,Continuing
717696333,44,M,4,Graduate,Married,$120K +,Blue,36,4,3,3,34516.0,0,34516.0,1.043,5425,60,0.875,0.0,Leaving
771234558,65,F,0,Graduate,Single,Less than $40K,Blue,56,6,3,2,7478.0,0,7478.0,0.847,2213,62,0.771,0.0,Continuing
717699408,51,F,3,Graduate,Married,Less than $40K,Blue,36,3,3,3,2886.0,2517,369.0,0.841,4884,89,0.618,0.872,Continuing
778885158,57,M,3,Uneducated,Married,$80K - $120K,Blue,38,5,3,3,2472.0,2457,15.0,0.693,1392,33,0.737,0.994,Continuing
718777008,59,M,0,High School,Married,$80K - $120K,Blue,47,5,1,2,3278.0,1306,1972.0,0.399,1374,32,0.391,0.398,Continuing
715812258,45,M,2,High School,Married,$80K - $120K,Blue,34,5,5,2,12518.0,1539,10979.0,0.645,1165,33,0.833,0.123,Continuing
772095858,38,F,2,Graduate,Single,Less than $40K,Blue,27,4,2,3,13429.0,1246,12183.0,1.055,3929,66,0.737,0.093,Continuing
778349883,56,F,0,Uneducated,Single,Less than $40K,Blue,36,4,3,1,3219.0,2114,1105.0,0.655,4188,75,0.667,0.657,Continuing
788965683,49,F,4,Uneducated,Married,Less than $40K,Blue,36,6,3,3,1438.3,0,1438.3,0.782,2170,41,0.464,0.0,Continuing
804601833,44,M,2,High School,Unknown,$60K - $80K,Silver,39,1,2,3,34516.0,1601,32915.0,0.686,7491,86,0.72,0.046,Continuing
721525758,45,M,5,Doctorate,Married,$80K - $120K,Blue,35,2,2,2,2226.0,1229,997.0,0.784,4928,77,0.638,0.552,Continuing
781306758,58,M,2,Uneducated,Single,$80K - $120K,Blue,52,1,2,4,3091.0,2517,574.0,0.602,1844,49,0.633,0.814,Leaving
712441308,41,F,4,Graduate,Single,Less than $40K,Blue,25,2,2,3,29295.0,0,29295.0,1.411,9865,65,0.711,0.0,Leaving
779307558,53,F,1,College,Unknown,$40K - $60K,Blue,35,4,3,3,3585.0,0,3585.0,0.782,4806,81,0.653,0.0,Continuing
720801033,51,F,1,High School,Married,Less than $40K,Blue,36,3,2,3,9095.0,2517,6578.0,0.37,1347,27,0.421,0.277,Continuing
710783358,46,M,3,High School,Unknown,$80K - $120K,Blue,35,5,3,2,2570.0,1764,806.0,0.786,4442,85,0.771,0.686,Continuing
